[INFO ] 2015-07-13 14:19:16,986 [repositories/fiteagle] GET query -1115731786
[INFO ] 2015-07-13 14:19:16,990 [repositories/fiteagle] Request for query -1115731786 is finished
[INFO ] 2015-07-13 14:20:12,926 [repositories/fiteagle] GET query 1037154000
[INFO ] 2015-07-13 14:20:12,928 [repositories/fiteagle] Request for query 1037154000 is finished
[INFO ] 2015-07-13 14:20:12,934 [repositories/fiteagle] GET statements
[INFO ] 2015-07-13 14:20:12,962 [repositories/fiteagle] GET query -439247579
[INFO ] 2015-07-13 14:20:12,965 [repositories/fiteagle] Request for query -439247579 is finished
[INFO ] 2015-07-13 14:20:12,998 [repositories/fiteagle] GET query -1115731786
[INFO ] 2015-07-13 14:20:12,999 [repositories/fiteagle] Request for query -1115731786 is finished
[INFO ] 2015-07-13 14:21:18,122 [repositories/fiteagle] GET query 1037154000
[INFO ] 2015-07-13 14:21:18,124 [repositories/fiteagle] Request for query 1037154000 is finished
[INFO ] 2015-07-13 14:21:18,143 [repositories/fiteagle] GET statements
[INFO ] 2015-07-13 14:21:18,186 [repositories/fiteagle] GET query -439247579
[INFO ] 2015-07-13 14:21:18,192 [repositories/fiteagle] Request for query -439247579 is finished
[INFO ] 2015-07-13 14:21:18,226 [repositories/fiteagle] GET query -1115731786
[INFO ] 2015-07-13 14:21:18,227 [repositories/fiteagle] Request for query -1115731786 is finished
[INFO ] 2015-07-13 14:22:05,151 [repositories/fiteagle] GET query -439247579
[INFO ] 2015-07-13 14:22:05,192 [repositories/fiteagle] Request for query -439247579 is finished
[INFO ] 2015-07-13 14:22:05,875 [repositories/fiteagle] GET query -1115731786
[INFO ] 2015-07-13 14:22:05,876 [repositories/fiteagle] Request for query -1115731786 is finished
[INFO ] 2015-07-13 14:22:25,078 [repositories/SYSTEM] GET statements
[INFO ] 2015-07-13 14:22:25,140 [default task-27] Request for query 3392903 is finished
[INFO ] 2015-07-13 14:22:25,223 [repositories/fiteagle] Request for query 3392903 is finished
[INFO ] 2015-07-13 14:22:25,444 [repositories/SYSTEM] GET statements
[INFO ] 2015-07-13 14:22:29,501 [repositories/fiteagle] GET namespace list
[INFO ] 2015-07-13 14:22:29,503 [repositories/fiteagle] Request for query 3392903 is finished
[INFO ] 2015-07-13 14:22:29,510 [repositories/fiteagle] GET statements
[INFO ] 2015-07-13 14:22:29,747 [repositories/SYSTEM] GET statements
[INFO ] 2015-07-13 14:23:02,292 [repositories/fiteagle] POST data to repository
[INFO ] 2015-07-13 14:23:02,292 [repositories/fiteagle] no base URI specified, using dummy 'foo:bar'
[WARN ] 2015-07-13 14:23:02,297 [repositories/fiteagle] http://javax.xml.XMLConstants/feature/secure-processing is not a recognized SAX feature. (-1, -1)
[INFO ] 2015-07-13 14:23:12,845 [repositories/fiteagle] GET query -439247579
[INFO ] 2015-07-13 14:23:12,849 [repositories/fiteagle] Request for query -439247579 is finished
[INFO ] 2015-07-13 14:23:12,881 [repositories/fiteagle] GET query -1115731786
[INFO ] 2015-07-13 14:23:12,893 [repositories/fiteagle] Request for query -1115731786 is finished
[INFO ] 2015-07-13 14:23:50,938 [repositories/fiteagle] POST data to repository
[INFO ] 2015-07-13 14:23:50,938 [repositories/fiteagle] no base URI specified, using dummy 'foo:bar'
[WARN ] 2015-07-13 14:23:50,939 [repositories/fiteagle] http://javax.xml.XMLConstants/feature/secure-processing is not a recognized SAX feature. (-1, -1)
[INFO ] 2015-07-13 14:24:18,154 [repositories/fiteagle] GET namespace list
[INFO ] 2015-07-13 14:24:18,155 [repositories/fiteagle] Request for query 3392903 is finished
[INFO ] 2015-07-13 14:24:18,168 [repositories/fiteagle] GET statements
[INFO ] 2015-07-13 14:24:18,610 [repositories/SYSTEM] GET statements
[INFO ] 2015-07-13 14:24:29,314 [repositories/fiteagle] GET query -439247579
[INFO ] 2015-07-13 14:24:29,317 [repositories/fiteagle] Request for query -439247579 is finished
[INFO ] 2015-07-13 14:24:29,800 [repositories/fiteagle] GET query -1115731786
[INFO ] 2015-07-13 14:24:29,802 [repositories/fiteagle] Request for query -1115731786 is finished
[INFO ] 2015-07-13 14:25:31,012 [repositories/fiteagle] GET query -439247579
[INFO ] 2015-07-13 14:25:31,015 [repositories/fiteagle] Request for query -439247579 is finished
[INFO ] 2015-07-13 14:25:31,504 [repositories/fiteagle] GET query -1115731786
[INFO ] 2015-07-13 14:25:31,507 [repositories/fiteagle] Request for query -1115731786 is finished
[INFO ] 2015-07-13 14:26:49,486 [repositories/fiteagle] GET query -439247579
[INFO ] 2015-07-13 14:26:49,488 [repositories/fiteagle] Request for query -439247579 is finished
[INFO ] 2015-07-13 14:26:49,994 [repositories/fiteagle] GET query -1115731786
[INFO ] 2015-07-13 14:26:49,996 [repositories/fiteagle] Request for query -1115731786 is finished
[INFO ] 2015-07-13 14:28:17,923 [repositories/fiteagle] GET query -439247579
[INFO ] 2015-07-13 14:28:17,925 [repositories/fiteagle] Request for query -439247579 is finished
[INFO ] 2015-07-13 14:28:18,498 [repositories/fiteagle] GET query -1115731786
[INFO ] 2015-07-13 14:28:18,500 [repositories/fiteagle] Request for query -1115731786 is finished
[INFO ] 2015-07-13 14:30:30,860 [repositories/fiteagle] GET query -439247579
[INFO ] 2015-07-13 14:30:30,862 [repositories/fiteagle] Request for query -439247579 is finished
[INFO ] 2015-07-13 14:30:31,371 [repositories/fiteagle] GET query -1115731786
[INFO ] 2015-07-13 14:30:31,373 [repositories/fiteagle] Request for query -1115731786 is finished
[INFO ] 2015-07-13 14:31:01,084 [repositories/fiteagle] GET namespace list
[INFO ] 2015-07-13 14:31:01,086 [repositories/fiteagle] Request for query 3392903 is finished
[INFO ] 2015-07-13 14:31:01,103 [repositories/fiteagle] GET statements
[INFO ] 2015-07-13 14:31:01,116 [repositories/fiteagle] GET statements
[INFO ] 2015-07-13 14:31:01,422 [repositories/SYSTEM] GET statements
[INFO ] 2015-07-13 14:31:48,861 [repositories/fiteagle] GET query -439247579
[INFO ] 2015-07-13 14:31:48,863 [repositories/fiteagle] Request for query -439247579 is finished
[INFO ] 2015-07-13 14:31:49,507 [repositories/fiteagle] GET query -1115731786
[INFO ] 2015-07-13 14:31:49,508 [repositories/fiteagle] Request for query -1115731786 is finished
[INFO ] 2015-07-13 14:34:04,189 [repositories/fiteagle] GET query -439247579
[INFO ] 2015-07-13 14:34:04,192 [repositories/fiteagle] Request for query -439247579 is finished
[INFO ] 2015-07-13 14:34:04,708 [repositories/fiteagle] GET query -1115731786
[INFO ] 2015-07-13 14:34:04,710 [repositories/fiteagle] Request for query -1115731786 is finished
[INFO ] 2015-07-13 14:34:53,459 [repositories/fiteagle] GET query -439247579
[INFO ] 2015-07-13 14:34:53,461 [repositories/fiteagle] Request for query -439247579 is finished
[INFO ] 2015-07-13 14:34:53,941 [repositories/fiteagle] GET query -1115731786
[INFO ] 2015-07-13 14:34:53,942 [repositories/fiteagle] Request for query -1115731786 is finished
[INFO ] 2015-07-13 14:36:10,393 [repositories/fiteagle] GET query -439247579
[INFO ] 2015-07-13 14:36:10,395 [repositories/fiteagle] Request for query -439247579 is finished
[INFO ] 2015-07-13 14:36:10,916 [repositories/fiteagle] GET query -1115731786
[INFO ] 2015-07-13 14:36:10,918 [repositories/fiteagle] Request for query -1115731786 is finished
[INFO ] 2015-07-13 14:36:50,405 [repositories/fiteagle] GET query -439247579
[INFO ] 2015-07-13 14:36:50,407 [repositories/fiteagle] Request for query -439247579 is finished
[INFO ] 2015-07-13 14:36:50,445 [repositories/fiteagle] GET query -1115731786
[INFO ] 2015-07-13 14:36:50,447 [repositories/fiteagle] Request for query -1115731786 is finished
[INFO ] 2015-07-13 14:37:21,447 [repositories/fiteagle] GET query -439247579
[INFO ] 2015-07-13 14:37:21,449 [repositories/fiteagle] Request for query -439247579 is finished
[INFO ] 2015-07-13 14:37:21,923 [repositories/fiteagle] GET query -1115731786
[INFO ] 2015-07-13 14:37:21,925 [repositories/fiteagle] Request for query -1115731786 is finished
[INFO ] 2015-07-13 14:39:02,909 [repositories/fiteagle] GET query -439247579
[INFO ] 2015-07-13 14:39:02,912 [repositories/fiteagle] Request for query -439247579 is finished
[INFO ] 2015-07-13 14:39:03,530 [repositories/fiteagle] GET query -1115731786
[INFO ] 2015-07-13 14:39:03,532 [repositories/fiteagle] Request for query -1115731786 is finished
[INFO ] 2015-07-13 15:13:34,822 [repositories/fiteagle] GET query -439247579
[INFO ] 2015-07-13 15:13:34,825 [repositories/fiteagle] Request for query -439247579 is finished
[INFO ] 2015-07-13 15:13:35,275 [repositories/fiteagle] GET query 392449280
[INFO ] 2015-07-13 15:13:35,276 [repositories/fiteagle] Request for query 392449280 is finished
[INFO ] 2015-07-13 15:13:43,181 [repositories/fiteagle] GET namespace list
[INFO ] 2015-07-13 15:13:43,182 [repositories/fiteagle] Request for query 3392903 is finished
[INFO ] 2015-07-13 15:13:43,188 [repositories/fiteagle] GET statements
[INFO ] 2015-07-13 15:13:43,196 [repositories/fiteagle] GET statements
[INFO ] 2015-07-13 15:13:43,433 [repositories/SYSTEM] GET statements
[INFO ] 2015-07-13 15:13:44,563 [repositories/fiteagle] GET namespace list
[INFO ] 2015-07-13 15:13:44,564 [repositories/fiteagle] Request for query 3392903 is finished
[INFO ] 2015-07-13 15:13:44,567 [repositories/fiteagle] GET statements
[INFO ] 2015-07-13 15:13:44,754 [repositories/SYSTEM] GET statements
[INFO ] 2015-07-13 15:14:45,907 [repositories/fiteagle] GET query -439247579
[INFO ] 2015-07-13 15:14:45,909 [repositories/fiteagle] Request for query -439247579 is finished
[INFO ] 2015-07-13 15:14:46,365 [repositories/fiteagle] GET query 392449280
[INFO ] 2015-07-13 15:14:46,367 [repositories/fiteagle] Request for query 392449280 is finished
[INFO ] 2015-07-13 15:14:58,266 [repositories/fiteagle] GET namespace list
[INFO ] 2015-07-13 15:14:58,267 [repositories/fiteagle] Request for query 3392903 is finished
[INFO ] 2015-07-13 15:14:58,275 [repositories/fiteagle] GET statements
[INFO ] 2015-07-13 15:14:58,531 [repositories/SYSTEM] GET statements
[INFO ] 2015-07-13 15:15:36,116 [repositories/fiteagle] POST data to repository
[INFO ] 2015-07-13 15:15:36,116 [repositories/fiteagle] no base URI specified, using dummy 'foo:bar'
[WARN ] 2015-07-13 15:15:36,117 [repositories/fiteagle] http://javax.xml.XMLConstants/feature/secure-processing is not a recognized SAX feature. (-1, -1)
[INFO ] 2015-07-13 15:15:41,962 [repositories/fiteagle] GET namespace list
[INFO ] 2015-07-13 15:15:41,964 [repositories/fiteagle] Request for query 3392903 is finished
[INFO ] 2015-07-13 15:15:41,969 [repositories/fiteagle] GET statements
[INFO ] 2015-07-13 15:15:42,183 [repositories/SYSTEM] GET statements
[INFO ] 2015-07-13 15:15:52,258 [repositories/fiteagle] GET query -439247579
[INFO ] 2015-07-13 15:15:52,260 [repositories/fiteagle] Request for query -439247579 is finished
[INFO ] 2015-07-13 15:15:52,295 [repositories/fiteagle] GET query 392449280
[INFO ] 2015-07-13 15:15:52,298 [repositories/fiteagle] Request for query 392449280 is finished
[INFO ] 2015-07-13 15:16:05,809 [repositories/fiteagle] GET query -439247579
[INFO ] 2015-07-13 15:16:05,811 [repositories/fiteagle] Request for query -439247579 is finished
[INFO ] 2015-07-13 15:16:05,835 [repositories/fiteagle] GET query 392449280
[INFO ] 2015-07-13 15:16:05,837 [repositories/fiteagle] Request for query 392449280 is finished
[INFO ] 2015-07-13 15:19:33,596 [MSC service thread 1-3] Logback logging API implementation is configured.
[INFO ] 2015-07-13 15:19:36,320 [repositories/fiteagle] POST data to repository
[INFO ] 2015-07-13 15:19:36,331 [repositories/fiteagle] no base URI specified, using dummy 'foo:bar'
