[INFO ] 2016-07-12 08:28:39,905 [ServerService Thread Pool -- 68] Logback logging API implementation is configured.
[INFO ] 2016-07-12 08:29:10,051 [default task-1] CompressingFilter has initialized
[INFO ] 2016-07-12 08:29:10,400 [repositories/QTeam] POST data to repository
[INFO ] 2016-07-12 08:29:10,411 [repositories/QTeam] no base URI specified, using dummy 'foo:bar'
[WARN ] 2016-07-12 08:29:10,447 [repositories/QTeam] http://javax.xml.XMLConstants/feature/secure-processing is not a recognized SAX feature. (-1, -1)
[INFO ] 2016-07-12 08:33:43,288 [repositories/QTeam] GET query 1935590443
[INFO ] 2016-07-12 08:33:43,629 [repositories/QTeam] Request for query 1935590443 is finished
[INFO ] 2016-07-12 08:34:02,106 [repositories/QTeam] POST data to repository
[INFO ] 2016-07-12 08:34:02,106 [repositories/QTeam] no base URI specified, using dummy 'foo:bar'
[WARN ] 2016-07-12 08:34:02,108 [repositories/QTeam] http://javax.xml.XMLConstants/feature/secure-processing is not a recognized SAX feature. (-1, -1)
[INFO ] 2016-07-12 08:34:26,392 [repositories/QTeam] GET query 1935590443
[INFO ] 2016-07-12 08:34:26,552 [repositories/QTeam] Request for query 1935590443 is finished
[INFO ] 2016-07-12 08:35:17,623 [repositories/SYSTEM] GET statements
[INFO ] 2016-07-12 08:35:17,739 [default task-11] Request for query 3392903 is finished
[INFO ] 2016-07-12 08:35:17,864 [repositories/QTeam] GET namespace list
[INFO ] 2016-07-12 08:35:17,867 [repositories/QTeam] Request for query 3392903 is finished
[INFO ] 2016-07-12 08:35:17,888 [repositories/QTeam] GET statements
[INFO ] 2016-07-12 08:35:17,922 [repositories/QTeam] GET statements
[INFO ] 2016-07-12 08:35:17,929 [repositories/QTeam] GET statements
[INFO ] 2016-07-12 08:35:17,946 [repositories/QTeam] GET statements
[INFO ] 2016-07-12 08:35:17,958 [repositories/QTeam] GET statements
[INFO ] 2016-07-12 08:35:17,977 [repositories/QTeam] GET statements
[INFO ] 2016-07-12 08:35:17,991 [repositories/QTeam] GET statements
[INFO ] 2016-07-12 08:35:17,999 [repositories/QTeam] GET statements
[INFO ] 2016-07-12 08:35:18,240 [repositories/SYSTEM] GET statements
[INFO ] 2016-07-12 08:35:24,917 [repositories/QTeam] GET namespace list
[INFO ] 2016-07-12 08:35:24,922 [repositories/QTeam] Request for query 3392903 is finished
[INFO ] 2016-07-12 08:35:24,934 [repositories/QTeam] GET statements
[INFO ] 2016-07-12 08:35:25,092 [repositories/SYSTEM] GET statements
[INFO ] 2016-07-12 08:35:28,992 [repositories/QTeam] GET namespace list
[INFO ] 2016-07-12 08:35:29,009 [repositories/QTeam] Request for query 3392903 is finished
[INFO ] 2016-07-12 08:35:29,036 [repositories/QTeam] GET statements
[INFO ] 2016-07-12 08:35:29,100 [repositories/QTeam] GET statements
[INFO ] 2016-07-12 08:35:29,119 [repositories/QTeam] GET statements
[INFO ] 2016-07-12 08:35:29,132 [repositories/QTeam] GET statements
[INFO ] 2016-07-12 08:35:29,156 [repositories/QTeam] GET statements
[INFO ] 2016-07-12 08:35:29,179 [repositories/QTeam] GET statements
[INFO ] 2016-07-12 08:35:29,209 [repositories/QTeam] GET statements
