[INFO ] 2016-07-01 20:01:01,827 [ServerService Thread Pool -- 71] Logback logging API implementation is configured.
[INFO ] 2016-07-01 20:01:07,103 [default task-2] CompressingFilter has initialized
[INFO ] 2016-07-01 20:01:07,245 [repositories/fiteagle] POST data to repository
[INFO ] 2016-07-01 20:01:07,255 [repositories/fiteagle] no base URI specified, using dummy 'foo:bar'
[WARN ] 2016-07-01 20:01:07,272 [repositories/fiteagle] http://javax.xml.XMLConstants/feature/secure-processing is not a recognized SAX feature. (-1, -1)
[INFO ] 2016-07-01 20:01:37,998 [repositories/fiteagle] POST data to repository
[INFO ] 2016-07-01 20:01:38,000 [repositories/fiteagle] no base URI specified, using dummy 'foo:bar'
[WARN ] 2016-07-01 20:01:38,003 [repositories/fiteagle] http://javax.xml.XMLConstants/feature/secure-processing is not a recognized SAX feature. (-1, -1)
[INFO ] 2016-07-01 20:03:54,347 [repositories/fiteagle] GET query -1010771740
[INFO ] 2016-07-01 20:03:54,479 [repositories/fiteagle] Request for query -1010771740 is finished
[INFO ] 2016-07-01 20:03:54,505 [repositories/fiteagle] GET query 258073765
[INFO ] 2016-07-01 20:03:54,517 [repositories/fiteagle] Request for query 258073765 is finished
[INFO ] 2016-07-01 20:03:54,523 [repositories/fiteagle] GET query -1485727469
[INFO ] 2016-07-01 20:03:54,525 [repositories/fiteagle] Request for query -1485727469 is finished
[INFO ] 2016-07-01 20:03:54,535 [repositories/fiteagle] GET statements
[INFO ] 2016-07-01 20:04:41,172 [repositories/fiteagle] POST data to repository
[INFO ] 2016-07-01 20:04:41,177 [repositories/fiteagle] no base URI specified, using dummy 'foo:bar'
[WARN ] 2016-07-01 20:04:41,179 [repositories/fiteagle] http://javax.xml.XMLConstants/feature/secure-processing is not a recognized SAX feature. (-1, -1)
[INFO ] 2016-07-01 20:04:51,162 [repositories/SYSTEM] GET statements
[INFO ] 2016-07-01 20:04:51,313 [default task-15] Request for query 3392903 is finished
[INFO ] 2016-07-01 20:04:51,502 [repositories/fiteagle] GET namespace list
[INFO ] 2016-07-01 20:04:51,504 [repositories/fiteagle] Request for query 3392903 is finished
[INFO ] 2016-07-01 20:04:51,529 [repositories/fiteagle] GET statements
[INFO ] 2016-07-01 20:04:51,718 [repositories/SYSTEM] GET statements
[INFO ] 2016-07-01 20:05:11,962 [repositories/fiteagle] GET namespace list
[INFO ] 2016-07-01 20:05:11,964 [repositories/fiteagle] Request for query 3392903 is finished
[INFO ] 2016-07-01 20:05:11,976 [repositories/fiteagle] GET statements
[INFO ] 2016-07-01 20:05:11,988 [repositories/fiteagle] GET statements
[INFO ] 2016-07-01 20:05:11,999 [repositories/fiteagle] GET statements
[INFO ] 2016-07-01 20:05:12,008 [repositories/fiteagle] GET statements
[INFO ] 2016-07-01 20:05:12,031 [repositories/fiteagle] GET statements
[INFO ] 2016-07-01 20:05:12,040 [repositories/fiteagle] GET statements
[INFO ] 2016-07-01 20:05:12,142 [repositories/SYSTEM] GET statements
[INFO ] 2016-07-01 20:05:32,143 [repositories/fiteagle] GET namespace list
[INFO ] 2016-07-01 20:05:32,146 [repositories/fiteagle] Request for query 3392903 is finished
[INFO ] 2016-07-01 20:05:32,155 [repositories/fiteagle] GET statements
