[INFO ] 2016-07-11 17:01:24,637 [ServerService Thread Pool -- 65] Logback logging API implementation is configured.
[INFO ] 2016-07-11 17:01:32,835 [default task-18] CompressingFilter has initialized
[INFO ] 2016-07-11 17:01:33,037 [repositories/QTeam] POST data to repository
[INFO ] 2016-07-11 17:01:33,048 [repositories/QTeam] no base URI specified, using dummy 'foo:bar'
[WARN ] 2016-07-11 17:01:33,067 [repositories/QTeam] http://javax.xml.XMLConstants/feature/secure-processing is not a recognized SAX feature. (-1, -1)
[INFO ] 2016-07-11 17:07:54,003 [repositories/SYSTEM] GET statements
[INFO ] 2016-07-11 17:07:54,198 [default task-24] Request for query 3392903 is finished
[INFO ] 2016-07-11 17:07:54,307 [repositories/QTeam] GET namespace list
[INFO ] 2016-07-11 17:07:54,317 [repositories/QTeam] Request for query 3392903 is finished
[INFO ] 2016-07-11 17:07:54,417 [repositories/SYSTEM] GET statements
[INFO ] 2016-07-11 17:07:57,010 [repositories/QTeam] GET namespace list
[INFO ] 2016-07-11 17:07:57,022 [repositories/QTeam] Request for query 3392903 is finished
[INFO ] 2016-07-11 17:07:57,036 [repositories/QTeam] GET statements
[INFO ] 2016-07-11 17:07:57,195 [repositories/SYSTEM] GET statements
[INFO ] 2016-07-11 17:08:02,391 [repositories/QTeam] GET namespace list
[INFO ] 2016-07-11 17:08:02,393 [repositories/QTeam] Request for query 3392903 is finished
[INFO ] 2016-07-11 17:08:02,402 [repositories/QTeam] GET statements
[INFO ] 2016-07-11 17:08:02,415 [repositories/QTeam] GET statements
[INFO ] 2016-07-11 17:08:02,424 [repositories/QTeam] GET statements
[INFO ] 2016-07-11 17:08:02,432 [repositories/QTeam] GET statements
[INFO ] 2016-07-11 17:08:02,439 [repositories/QTeam] GET statements
[INFO ] 2016-07-11 17:08:02,447 [repositories/QTeam] GET statements
[INFO ] 2016-07-11 17:08:02,454 [repositories/QTeam] GET statements
[INFO ] 2016-07-11 17:08:02,462 [repositories/QTeam] GET statements
[INFO ] 2016-07-11 17:08:02,540 [repositories/SYSTEM] GET statements
[INFO ] 2016-07-11 17:08:11,812 [repositories/QTeam] GET namespace list
[INFO ] 2016-07-11 17:08:11,815 [repositories/QTeam] Request for query 3392903 is finished
[INFO ] 2016-07-11 17:08:11,820 [repositories/QTeam] GET statements
[INFO ] 2016-07-11 17:08:11,831 [repositories/QTeam] GET statements
[INFO ] 2016-07-11 17:08:11,838 [repositories/QTeam] GET statements
[INFO ] 2016-07-11 17:08:11,844 [repositories/QTeam] GET statements
[INFO ] 2016-07-11 17:08:11,850 [repositories/QTeam] GET statements
[INFO ] 2016-07-11 17:08:11,862 [repositories/QTeam] GET statements
[INFO ] 2016-07-11 17:08:11,870 [repositories/QTeam] GET statements
[INFO ] 2016-07-11 17:08:11,878 [repositories/QTeam] GET statements
[INFO ] 2016-07-11 17:08:11,925 [repositories/SYSTEM] GET statements
[INFO ] 2016-07-11 17:08:27,703 [repositories/QTeam] GET namespace list
[INFO ] 2016-07-11 17:08:27,710 [repositories/QTeam] Request for query 3392903 is finished
[INFO ] 2016-07-11 17:08:27,715 [repositories/QTeam] GET statements
[INFO ] 2016-07-11 17:08:27,723 [repositories/QTeam] GET statements
[INFO ] 2016-07-11 17:08:27,729 [repositories/QTeam] GET statements
[INFO ] 2016-07-11 17:08:27,742 [repositories/QTeam] GET statements
[INFO ] 2016-07-11 17:08:27,751 [repositories/QTeam] GET statements
[INFO ] 2016-07-11 17:08:27,761 [repositories/QTeam] GET statements
[INFO ] 2016-07-11 17:08:27,768 [repositories/QTeam] GET statements
[INFO ] 2016-07-11 17:08:27,776 [repositories/QTeam] GET statements
[INFO ] 2016-07-11 17:08:27,844 [repositories/SYSTEM] GET statements
[INFO ] 2016-07-11 17:13:39,755 [repositories/QTeam] GET namespace list
[INFO ] 2016-07-11 17:13:39,758 [repositories/QTeam] Request for query 3392903 is finished
[INFO ] 2016-07-11 17:13:39,768 [repositories/QTeam] GET statements
[INFO ] 2016-07-11 17:13:39,774 [repositories/QTeam] GET statements
[INFO ] 2016-07-11 17:13:39,791 [repositories/QTeam] GET statements
[INFO ] 2016-07-11 17:13:39,798 [repositories/QTeam] GET statements
[INFO ] 2016-07-11 17:13:39,805 [repositories/QTeam] GET statements
[INFO ] 2016-07-11 17:13:39,812 [repositories/QTeam] GET statements
[INFO ] 2016-07-11 17:13:39,817 [repositories/QTeam] GET statements
[INFO ] 2016-07-11 17:13:39,829 [repositories/QTeam] GET statements
[INFO ] 2016-07-11 17:13:39,908 [repositories/SYSTEM] GET statements
[INFO ] 2016-07-11 17:13:43,151 [repositories/QTeam] GET namespace list
[INFO ] 2016-07-11 17:13:43,154 [repositories/QTeam] Request for query 3392903 is finished
[INFO ] 2016-07-11 17:13:43,160 [repositories/QTeam] GET statements
[INFO ] 2016-07-11 17:13:43,170 [repositories/QTeam] GET statements
[INFO ] 2016-07-11 17:13:43,177 [repositories/QTeam] GET statements
[INFO ] 2016-07-11 17:13:43,190 [repositories/QTeam] GET statements
[INFO ] 2016-07-11 17:13:43,197 [repositories/QTeam] GET statements
[INFO ] 2016-07-11 17:13:43,205 [repositories/QTeam] GET statements
[INFO ] 2016-07-11 17:13:43,210 [repositories/QTeam] GET statements
[INFO ] 2016-07-11 17:13:43,219 [repositories/QTeam] GET statements
[INFO ] 2016-07-11 17:13:43,288 [repositories/SYSTEM] GET statements
[INFO ] 2016-07-11 17:13:47,955 [repositories/QTeam] GET namespace list
[INFO ] 2016-07-11 17:13:47,957 [repositories/QTeam] Request for query 3392903 is finished
[INFO ] 2016-07-11 17:13:47,962 [repositories/QTeam] GET statements
